,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
38,2002,2407,Jared,Jeffries,Jared Jeffries,PF,82.0,230,84.5,109.0,9' 1'',26.0,30.0,11.73,3.4,9.0
39,2002,12049,Jason,Jennings,Jason Jennings,C,83.25,249,91.0,111.0,9' 3'',29.0,32.0,11.92,3.62,8.0
41,2002,2495,Lonnie,Jones,Lonnie Jones,C-PF,82.25,230,86.25,112.0,9' 4'',30.5,31.5,11.8,3.33,15.0
43,2002,12050,Sean,Kennedy,Sean Kennedy,PG,72.75,182,74.5,96.0,8' 0'',22.5,26.5,11.64,3.28,0.0
44,2002,12051,Kris,Lang,Kris Lang,C-PF,81.25,242,83.75,109.0,9' 1'',28.0,29.0,11.36,3.24,19.0
45,2002,12052,Muhammed,Lasege,Muhammed Lasege,C-PF,80.75,228,86.0,108.5,9' 0.5'',27.5,30.0,12.96,3.29,18.0
47,2002,2677,Kevin,Lyde,Kevin Lyde,C-PF,80.75,278,86.0,109.5,9' 1.5'',27.5,30.5,12.97,3.36,13.0
48,2002,2432,Tito,Maddox,Tito Maddox,PG,75.0,200,77.0,99.0,8' 3'',27.0,32.5,12.2,3.24,0.0
49,2002,12054,Kei,Madison,Kei Madison,SF,79.75,216,84.5,107.0,8' 11'',27.5,34.5,11.74,3.22,6.0
53,2002,12057,Elvin,Mims,Elvin Mims,SF-SG,76.25,211,85.5,105.5,8' 9.5'',32.0,38.0,11.17,3.22,7.0
54,2002,12058,Byron,Mouton,Byron Mouton,SG-SF,76.5,213,82.25,102.0,8' 6'',24.0,30.0,11.84,3.1,7.0
55,2002,2436,Ronald,Murray,Ronald Murray,SG,75.0,197,79.5,100.5,8' 4.5'',31.0,36.5,11.13,3.16,9.0
56,2002,12059,Uche,Okafor,Uche Okafor,PF-C,81.0,229,89.5,112.0,9' 4'',24.5,25.0,14.45,3.34,10.0
58,2002,2457,Jannero,Pargo,Jannero Pargo,PG,72.25,168,74.5,96.0,8' 0'',25.5,29.5,11.11,3.2,5.0
59,2002,2470,Smush,Parker,Smush Parker,PG-SG,74.5,179,82.0,107.5,8' 11.5'',21.0,28.5,12.3,3.26,1.0
60,2002,2458,Luke,Recker,Luke Recker,SG-SF,76.75,198,79.0,101.0,8' 5'',25.5,31.0,10.78,3.27,13.0
61,2002,12061,Rolan,Roberts,Rolan Roberts,PF,77.75,241,85.0,105.5,8' 9.5'',32.5,37.5,11.36,3.33,16.0
62,2002,12062,Travis,Robinson,Travis Robinson,SF,77.25,211,82.5,104.5,8' 8.5'',26.0,33.0,11.96,3.43,3.0
